"Energieverbruik particuliere woningen; woningtype en regio's"
""
"";"";"";"Onderwerp"
"";"";"";"Gemiddeld aardgasverbruik";"Gemiddelde elektriciteitslevering";"Gemiddelde netto elektriciteitslevering";"Stadsverwarming"
"Woningkenmerken";"Regio's";"Perioden";"m3";"kWh";"kWh";"%"
"Tussenwoning";"Amsterdam";"2023*";"760";"2600";"2200";"."
"Tussenwoning";"Borne";"2020";"1040";"2840";"";"."
"Tussenwoning";"Borne";"2021";"1260";"2850";"2410";"."
"Tussenwoning";"Borne";"2022";"990";"2630";"2000";"."
"Tussenwoning";"Borne";"2023*";"830";"2500";"1640";"."
"Tussenwoning";"'s-Gravenhage (gemeente)";"2020";"1070";"3210";"";"."
"Tussenwoning";"'s-Gravenhage (gemeente)";"2021";"1220";"3270";"3000";"."
"Tussenwoning";"'s-Gravenhage (gemeente)";"2022";"950";"3030";"2670";"."
"Tussenwoning";"'s-Gravenhage (gemeente)";"2023*";"830";"2820";"2320";"."
"Tussenwoning";"Zevenaar";"2020";"1060";"2790";"";"."
"Tussenwoning";"Zevenaar";"2021";"1190";"2780";"2420";"."
"Tussenwoning";"Zevenaar";"2022";"940";"2620";"2170";"."
"Tussenwoning";"Zevenaar";"2023*";"780";"2500";"1890";"."
"Hoekwoning";"Nederland";"2020";"1250";"2970";"";"."
"Hoekwoning";"Nederland";"2021";"1400";"3000";"2580";"."
"Hoekwoning";"Nederland";"2022";"1090";"2810";"2240";"."
"Hoekwoning";"Nederland";"2023*";"920";"2660";"1920";"."
"Hoekwoning";"Zuid-Holland (PV)";"2020";"1240";"3150";"";"."
"Hoekwoning";"Zuid-Holland (PV)";"2021";"1390";"3200";"2820";"."
"Hoekwoning";"Zuid-Holland (PV)";"2022";"1060";"2980";"2440";"."
"Hoekwoning";"Zuid-Holland (PV)";"2023*";"910";"2800";"2060";"."
"Hoekwoning";"Limburg (PV)";"2020";"1330";"3000";"";"."
"Hoekwoning";"Limburg (PV)";"2021";"1500";"3020";"2460";"."
"Hoekwoning";"Limburg (PV)";"2022";"1170";"2860";"2170";"."
"Hoekwoning";"Limburg (PV)";"2023*";"970";"2750";"1870";"."
"Hoekwoning";"Achtkarspelen";"2020";"1380";"2350";"";"."
"Hoekwoning";"Achtkarspelen";"2021";"1540";"2380";"2120";"."
"Hoekwoning";"Achtkarspelen";"2022";"1200";"2240";"1910";"."
"Hoekwoning";"Achtkarspelen";"2023*";"1010";"2130";"1690";"."
"Hoekwoning";"Amsterdam";"2020";"1110";"2970";"";"."
"Hoekwoning";"Amsterdam";"2021";"1260";"2950";"2700";"."
"Hoekwoning";"Amsterdam";"2022";"990";"2750";"2420";"."
"Hoekwoning";"Amsterdam";"2023*";"870";"2610";"2160";"."
"Hoekwoning";"Borne";"2020";"1220";"3010";"";"."
"Hoekwoning";"Borne";"2021";"1450";"3020";"2530";"."
"Hoekwoning";"Borne";"2022";"1150";"2830";"2150";"."
"Hoekwoning";"Borne";"2023*";"970";"2690";"1780";"."
"Hoekwoning";"'s-Gravenhage (gemeente)";"2020";"1230";"3490";"";"."
"Hoekwoning";"'s-Gravenhage (gemeente)";"2021";"1390";"3560";"3220";"."
"Hoekwoning";"'s-Gravenhage (gemeente)";"2022";"1080";"3320";"2840";"."
"Hoekwoning";"'s-Gravenhage (gemeente)";"2023*";"940";"3140";"2470";"."
"Hoekwoning";"Zevenaar";"2020";"1190";"2950";"";"."
"Hoekwoning";"Zevenaar";"2021";"1350";"2960";"2520";"."
"Hoekwoning";"Zevenaar";"2022";"1040";"2790";"2230";"."
"Hoekwoning";"Zevenaar";"2023*";"860";"2680";"1950";"."
"2-onder-1-kapwoning";"Nederland";"2020";"1450";"3290";"";"."
"2-onder-1-kapwoning";"Nederland";"2021";"1650";"3370";"2810";"."
"2-onder-1-kapwoning";"Nederland";"2022";"1270";"3160";"2410";"."
"2-onder-1-kapwoning";"Nederland";"2023*";"1050";"3020";"2010";"."
"2-onder-1-kapwoning";"Zuid-Holland (PV)";"2020";"1480";"3660";"";"."
"2-onder-1-kapwoning";"Zuid-Holland (PV)";"2021";"1670";"3790";"3280";"."
"2-onder-1-kapwoning";"Zuid-Holland (PV)";"2022";"1260";"3560";"2800";"."
"2-onder-1-kapwoning";"Zuid-Holland (PV)";"2023*";"1060";"3380";"2350";"."
"2-onder-1-kapwoning";"Limburg (PV)";"2020";"1470";"3200";"";"."
"2-onder-1-kapwoning";"Limburg (PV)";"2021";"1670";"3250";"2590";"."
"2-onder-1-kapwoning";"Limburg (PV)";"2022";"1300";"3060";"2240";"."
"2-onder-1-kapwoning";"Limburg (PV)";"2023*";"1050";"2950";"1880";"."
"2-onder-1-kapwoning";"Achtkarspelen";"2020";"1350";"2800";"";"."
"2-onder-1-kapwoning";"Achtkarspelen";"2021";"1500";"2870";"2450";"."
"2-onder-1-kapwoning";"Achtkarspelen";"2022";"1170";"2710";"2140";"."
"2-onder-1-kapwoning";"Achtkarspelen";"2023*";"960";"2630";"1840";"."
"2-onder-1-kapwoning";"Amsterdam";"2020";"1380";"3420";"";"."
"2-onder-1-kapwoning";"Amsterdam";"2021";"1600";"3500";"3130";"."
"2-onder-1-kapwoning";"Amsterdam";"2022";"1250";"3280";"2800";"."
"2-onder-1-kapwoning";"Amsterdam";"2023*";"1050";"3200";"2490";"."
"2-onder-1-kapwoning";"Borne";"2020";"1360";"3210";"";"."
"2-onder-1-kapwoning";"Borne";"2021";"1630";"3240";"2650";"."
"2-onder-1-kapwoning";"Borne";"2022";"1240";"3060";"2230";"."
"2-onder-1-kapwoning";"Borne";"2023*";"1010";"2920";"1800";"."
"2-onder-1-kapwoning";"'s-Gravenhage (gemeente)";"2020";"1260";"4170";"";"."
"2-onder-1-kapwoning";"'s-Gravenhage (gemeente)";"2021";"1460";"4400";"3880";"."
"2-onder-1-kapwoning";"'s-Gravenhage (gemeente)";"2022";"1090";"4150";"3380";"."
"2-onder-1-kapwoning";"'s-Gravenhage (gemeente)";"2023*";"950";"3920";"2900";"."
"2-onder-1-kapwoning";"Zevenaar";"2020";"1340";"3280";"";"."
"2-onder-1-kapwoning";"Zevenaar";"2021";"1520";"3320";"2640";"."
"2-onder-1-kapwoning";"Zevenaar";"2022";"1170";"3100";"2250";"."
"2-onder-1-kapwoning";"Zevenaar";"2023*";"940";"2990";"1850";"."
"Vrijstaande woning";"Nederland";"2020";"1910";"4040";"";"."
"Vrijstaande woning";"Nederland";"2021";"2150";"4190";"3410";"."
"Vrijstaande woning";"Nederland";"2022";"1650";"3960";"2860";"."
"Vrijstaande woning";"Nederland";"2023*";"1340";"3850";"2390";"."
"Vrijstaande woning";"Zuid-Holland (PV)";"2020";"1940";"4380";"";"."
"Vrijstaande woning";"Zuid-Holland (PV)";"2021";"2160";"4570";"3880";"."
"Vrijstaande woning";"Zuid-Holland (PV)";"2022";"1630";"4310";"3230";"."
"Vrijstaande woning";"Zuid-Holland (PV)";"2023*";"1350";"4170";"2730";"."
"Vrijstaande woning";"Limburg (PV)";"2020";"1960";"4110";"";"."
"Vrijstaande woning";"Limburg (PV)";"2021";"2190";"4220";"3230";"."
"Vrijstaande woning";"Limburg (PV)";"2022";"1680";"4010";"2700";"."
"Vrijstaande woning";"Limburg (PV)";"2023*";"1340";"3900";"2220";"."
"Vrijstaande woning";"Achtkarspelen";"2020";"1760";"3360";"";"."
"Vrijstaande woning";"Achtkarspelen";"2021";"1970";"3480";"2860";"."
"Vrijstaande woning";"Achtkarspelen";"2022";"1510";"3270";"2390";"."
"Vrijstaande woning";"Achtkarspelen";"2023*";"1210";"3210";"1990";"."
"Vrijstaande woning";"Amsterdam";"2020";"1820";"4290";"";"."
"Vrijstaande woning";"Amsterdam";"2021";"2060";"4570";"4000";"."
"Vrijstaande woning";"Amsterdam";"2022";"1560";"4270";"3480";"."
"Vrijstaande woning";"Amsterdam";"2023*";"1310";"4140";"3150";"."
"Vrijstaande woning";"Borne";"2020";"1840";"4130";"";"."
"Vrijstaande woning";"Borne";"2021";"2160";"4320";"3360";"."
"Vrijstaande woning";"Borne";"2022";"1650";"4120";"2730";"."
"Vrijstaande woning";"Borne";"2023*";"1320";"4030";"2210";"."
"Vrijstaande woning";"'s-Gravenhage (gemeente)";"2020";"1760";"4920";"";"."
"Vrijstaande woning";"'s-Gravenhage (gemeente)";"2021";"1890";"5150";"4400";"."
"Vrijstaande woning";"'s-Gravenhage (gemeente)";"2022";"1450";"4890";"3810";"."
"Vrijstaande woning";"'s-Gravenhage (gemeente)";"2023*";"1220";"4680";"3330";"."
"Vrijstaande woning";"Zevenaar";"2020";"1790";"4060";"";"."
